platform,author,rating,title,content,updated,app_id
iOS,하얀구름이다,1,약관동의에서 멈추는 앱,"몇 번을 다시 깔아도 멈추네요.
약관동의에서……
아이폰15플러스",2025-06-14 00:13:00-07:00,1112366886
iOS,슈트리더,5,저도 약관동의 하라는 메시지 뜨네요,재접해도 계속뜨고 체크하고 확인 누르려해도 다음 페이지로 안 넘어 갑니다.. 다른걸 하고 싶어도 켜자마자 떠버리니까 아무것도 못하네요..ㅜ,2025-06-13 19:09:02-07:00,1112366886
iOS,가 람,1,약관동의에서 안넘어감,재설치도 당연히 해봄,2025-06-12 15:09:19-07:00,1112366886
iOS,호하호하호히하히,2,로그인 안되네요,아이디/비번 입력하고 약관동의 화면에서 확인눌러도 먹통입니다.,2025-06-12 02:53:07-07:00,1112366886
iOS,하오하호11,5,완전 유용해요,만족하며 사용하고 있고 도움이 많이 됩니다,2025-06-10 00:25:15-07:00,1112366886
iOS,롱구리리,5,중고차 알아보기,좋아요ㅎㅎ간편해요,2025-06-06 06:21:56-07:00,1112366886
iOS,선릉호랑이,1,메인 디자인이 뭐죠?,중고차 구매하기 위해 접속했는데 엔카 메인과 너무 흡사해서 놀랬습니다. 엔카에 들어온줄~~~ 신경좀 쓰십시오. 표절인줄~~,2025-05-20 08:15:54-07:00,1112366886
iOS,dzleezb,4,로그인,네이버로그인이 안되요,2025-05-18 04:04:07-07:00,1112366886
iOS,새우탕맛있어,2,로그인 불가,네이버 계정 로그인이 안되고 있음 버그인가,2025-05-17 03:29:41-07:00,1112366886
iOS,스마일 맨,3,어플,상세조건검색 배기량없네요 아쉼,2025-05-12 03:33:00-07:00,1112366886
iOS,인천증구첨잠,5,차차차,"국민자동차앱으로 등록되기 3일전!ㅎ ㅎ ㅎ
승승장구하십쇼다!ㅎ ㅎ ㅎ 팅이화! ㅎ ㅎ ㅎ",2025-05-09 06:18:25-07:00,1112366886
iOS,garden:),5,비교하기 편하고 좋아요,중고차 편하게 폰으로 알아볼 수 있어서 좋아요!,2025-05-09 03:05:58-07:00,1112366886
iOS,지현다은아빠,3,극악의 당첨률,그래도 소소해도 뭐하나 주네요.,2025-05-04 20:10:15-07:00,1112366886
iOS,ijawa218,5,좋아용~~,차팔고 사기에는 최고의 앱입니다~~~,2025-04-25 00:03:42-07:00,1112366886
iOS,akdingun,5,좋아여,매일 매일 정보체크 도움이 됩니다,2025-04-24 03:53:04-07:00,1112366886
iOS,쏘나타👍🏻👍🏻,5,쏘나타 구입했어요,아주 기분좋은 거래했습니다,2025-04-16 18:44:29-07:00,1112366886
iOS,아이스woojin,5,Good,좋아요.,2025-04-03 07:14:25-07:00,1112366886
iOS,Friend052231,1,로그인창 무한반복,비밀번호 옳게입력해도 다시회원가입 창으로 무한반복되서 짜증나네요 고쳐주세요,2025-03-23 04:45:28-07:00,1112366886
iOS,걷달,5,KB차차차! 으라차차차!,차량 유지에서 부터 관리 그리고 처분까지 아주 유용한 어플입니다 익일 번창하세요 KB차차차! 으라차차차!!,2025-03-22 05:23:07-07:00,1112366886
iOS,138;₩,5,ㅓㅠ,",,",2025-03-13 17:55:47-07:00,1112366886
iOS,미키미우스,5,좋아요,아주 좋아요,2025-03-12 02:19:03-07:00,1112366886
iOS,유니워니맘83,5,KB차차차 최고,"중고차 시세도 알기쉽게 볼수있어서 
앱이 편하고 좋아요^^",2025-03-11 06:35:51-07:00,1112366886
iOS,애교쪽,5,차차차,차차차 굿굿,2025-03-04 05:01:54-07:00,1112366886
iOS,Arkimedes's,1,홈페이지,PC로 접속할 때 애플로 접속하는 칸을 찾을 수 없음 ㅡㅡ,2025-03-04 00:01:50-07:00,1112366886
iOS,Jjgogo,5,최고에요^^,매번 선물을 주는 선물앱이네여^^ 선물 감사합니다.,2025-03-01 04:36:05-07:00,1112366886
iOS,차차구,5,믿음 가는 KB,이 어플을 통해 두번 구입했는데 품질과 가격 모두 만족스럽습니다. 중고차 구매 계획이 있으시다면 무조건 여기입니다.,2025-02-23 23:37:33-07:00,1112366886
iOS,Feel받은산Er,5,차차차 최고!!,차차차 너무 좋아요~!!,2025-02-23 05:49:50-07:00,1112366886
iOS,cocopery,5,잘 사용하고있어요^^,좋내요,2025-02-02 04:42:30-07:00,1112366886
iOS,스테파니12,5,프리우스1.8,하이브리드 프리우스,2025-01-31 18:00:45-07:00,1112366886
iOS,땨등,5,"비교기능, 요약기능, 저렴한 금액, 채팅문의기능이 굿",맘에듦,2025-01-23 22:42:06-07:00,1112366886
iOS,레나7984,5,중고차 입중에 제일 갠츈한듯,내 중고차 뽑기 잘 되서 ㅎ,2025-01-22 03:04:14-07:00,1112366886
iOS,바머누어,5,좋아여,조항요,2025-01-02 19:14:54-07:00,1112366886
iOS,지디지디지디,5,좋아요,좋은 차를 과장없이 잘 샀습니다.,2024-12-26 23:31:50-07:00,1112366886
iOS,IKNW83,5,차차차 굿굿,영상으로 차상태도 보고 많은 정보가 있어 다른곳보다 좋네요,2024-12-26 23:05:36-07:00,1112366886
iOS,헤이ㅡ,5,보기 편리해요,보기 편리해요 업데이트 하고 더 좋은 것 같아요,2024-12-11 00:09:08-07:00,1112366886
iOS,Sophie2828,5,가독성 좋은 중고차 앱,중고차 앱 중에 제일 매물 확인하기 편하고 가격 경쟁력 있고 딜러들 피드백도 빨라요! 계속 애용하고 싶은 앱이에요.,2024-12-11 00:07:45-07:00,1112366886
